"geno_name","source_lat","source_long","sexual_recruit","source_date","geno_definition","CSR_accession","mlg_id","geno_source","origin_nursery","microsat_id","mlg_geno_id","alt_names","geno_id"
"K3",24.9822,-80.4363,0,"1905-06-18","SNP","3972acbc-b7ba-3a09-74b1-cb92793aa8f8","HG0002","Ross-CBASS","CRF",NA,22,"CRF-009",150
"U78",NA,NA,0,NA,NA,NA,NA,"Lohr2017","CRF",NA,NA,NA,151
"Yung's-C",25.56418,-80.1049,0,"2018-04-24",NA,"f624cc1d-16c9-69b8-942c-e2b667569ec3",NA,NA,"University of Miami",NA,NA,NA,152
"Cheetos-E",25.32242,-80.18228,0,"2018-02-24",NA,"27be48b5-bb97-e18b-5869-9b2b420f0896",NA,NA,"University of Miami",NA,NA,"CV FD",153
"ML10",24.61515,-81.37917,0,"2008-02-23","SNP","ca8bd94a-0095-a900-8264-ffe9d26ea70c","HG0572","Ross-CBASS","Mote","C1083",571,NA,154
"ML29",24.52172,-81.57675,0,"2010-05-28","SNP","bd92399b-5cc9-6cd5-6d86-54e5f635e73f","HG0571","Ross-CBASS","Mote","C1377",601,NA,155
"ML36",24.5615,-81.40788,0,"2010-04-01","SNP","346f1c87-4343-9083-6e55-b17843ff838f","HG0959","Ross-CBASS","Mote","C1368",1002,NA,156
"ML46",24.5608,-81.50143,0,"2010-05-25","SNP","e5d06b0d-81b4-5514-2e59-7f97a33ebc42","HG0563","Ross-CBASS","Mote","C1507",598,NA,157
"ML48",24.5215,-81.5769,0,"2010-05-28","SNP","da7b5d4e-1b4d-b833-24a0-15bad66c1d90","HG0578","Ross-CBASS","Mote","C1166",585,"Ana's-G; Ana's-A; Ana's-1",158
"ML51",24.52735,-81.49895,0,"2010-10-01","SNP","bbcfc1b9-b85f-9fdb-adde-91e8007f4ad2","HG0552","Ross-CBASS","Mote","C1460",602,NA,159
"ML57",24.55948,-81.41322,0,"2010-11-11","SNP","c6f46e0b-0261-cd51-9048-e3d158e78989","HG0576","Ross-CBASS","Mote","C1511",591,"CRF-099",160
"ML58",24.52328,-81.53572,0,"2010-11-16","SNP","7d209666-441d-9e36-7792-1feab51bd0bb","HG0594","Ross-CBASS","Mote","C1462",590,NA,161
"ML6",24.52298,-81.52043,0,"2008-02-22","SNP","71f47258-3f7b-2bee-1d7b-a7dbf1dfafc6","HG0584","Ross-CBASS","Mote",NA,579,NA,162
"ML70",24.55717,-81.51013,0,"2015-05-21","SNP","339b6eaa-810c-54e1-1351-b169a04a428e","HG0579","Ross-CBASS","Mote",NA,561,NA,163
"ML75",24.5401,-81.44882,0,"2015-12-15","SNP","9568b99c-fcfb-86b8-5828-817e99451b51","HG0585","Ross-CBASS","Mote",NA,592,NA,164
"ML76",24.52658,-81.50102,0,"2016-02-17","SNP","85370417-c238-f857-07b8-a404187426ed","HG0569","Ross-CBASS","Mote",NA,600,NA,165
"ML77",24.52999,-81.48959,0,"2016-02-17","SNP","e6edcd72-dba3-f892-4d5b-d70f3746d3fb","HG0599","Ross-CBASS","Mote",NA,560,NA,166
"ML78",24.52999,-81.48959,0,"2016-02-17","SNP","6b465d7a-8150-16c5-57c3-977ba08dbeda","HG0583","Ross-CBASS","Mote",NA,569,NA,167
"ML79",24.5264,-81.50517,0,"2016-02-29","SNP","21f19728-c77d-0396-2e61-8576d9403720","HG0567","Ross-CBASS","Mote",NA,609,NA,168
"ML8",24.58353,-81.43298,0,"2008-02-23","SNP","359c4cd2-5752-f5cc-d372-0ec3ddb9627a","HG0591","Ross-CBASS","Mote","C1160",581,NA,169
"ML80",24.5264,-81.50517,0,"2016-02-29","SNP","c24ba212-8f61-4afd-b4da-56b28355b1a6","HG0565","Ross-CBASS","Mote",NA,568,NA,170
"ML84",24.54129,-81.44031,0,"2016-03-01","SNP","81184797-d836-064a-2585-b4151d16f1e3","HG0564","Ross-CBASS","Mote",NA,625,NA,171
"ML88",24.51766,-81.5441,0,"2016-03-02","SNP","66b4ffe6-132c-16e8-aee1-68982fb31d97","HG0555","Ross-CBASS","Mote",NA,596,NA,172
"ML89",24.51766,-81.5441,0,"2016-03-02","SNP","a580cab7-30fd-0f4b-f048-30fdecdb3528","HG0560","Ross-CBASS","Mote",NA,610,NA,173
"ML90",24.55255,-81.57993,0,"2019-10-10",NA,"208d7e62-9ca1-7a7f-ab37-c1c856032c0e",NA,"Ross-CBASS","Mote",NA,NA,NA,174
"B10",25.9891,-80.109167,0,NA,"SNP",NA,"HG0692","Ross-CBASS","CRF",NA,710,"CRF-024",175
"B9",26.024933,-80.10415,0,NA,"SNP",NA,"HG0706","Ross-CBASS","CRF",NA,709,"CRF-023",176
"U100",25.283616,-80.20715,0,"2014-05-03","SNP","a4661fb5-7f42-8752-1a50-d43aae6acd38","HG0696","Ross-CBASS","CRF",NA,737,"CRF-113",177
"U106",25.108566,-80.307033,0,"2015-04-17","SNP","69dc996e-0e95-608e-1651-2a84a3ca016b","HG0863","Ross-CBASS","CRF",NA,859,"CRF-121",178
"U11",24.987133,-80.452883,0,"2005-12-30","SNP","bab72c7b-d9ee-9cd3-4997-e75149af480a","HG0710","Ross-CBASS","CRF","C1437",706,"CRF-013",179
"U03",24.9574,-80.492383,0,"2009-12-10","SNP","075b48ac-de64-ffed-3e97-c7dd91e2953f","HG0714","Ross-CBASS","CRF","C1410",717,"CRF-055",180
"U35",25.00945,-80.4514,0,"2008-05-13","SNP","6c264134-8a3c-7fab-f205-f6748f498c4f","HG0050","Ross-CBASS","CRF","C1480",10,"CRF-042",181
"U37",24.9886,-80.402566,0,"2008-09-20","SNP","264b4552-b6c9-9c09-6465-fbd17754c2eb","HG0044","Ross-CBASS","CRF","C1483",33,"CRF-043",182
"U39",24.9519,-80.451133,0,"2009-06-08","SNP","732d6d1b-16ba-ea03-947f-5bb6d4c89314","HG0595","Ross-CBASS","CRF","C1487",605,"CRF-048",183
"U04",25.00785,-80.44805,0,"2005-12-07","SNP","1a874e1f-364d-20eb-3550-de115c45069c","HG0688","Ross-CBASS","CRF",NA,703,"CRF-010",184
"U42",24.9509,-80.493616,0,"2009-10-25","SNP","9f39e441-ae91-87c4-57f7-a9a055d399ac","HG0149","Ross-CBASS","CRF","C1494",154,"CRF-052",185
"U43",24.951883,-80.491616,0,"2009-10-25","SNP","3a0f9ece-49c7-60dc-e704-47f6e9ffae5a","HG0060","Ross-CBASS","CRF","C1495",9,"CRF-053",186
"U45",25.01775,-80.395866,0,"2010-05-07","SNP","97111cf5-d0bb-159b-2c60-f3a04030bd9e","HG0687","Ross-CBASS","CRF","C1416",721,"CRF-068",187
"U46",25.013716,-80.415,0,"2010-05-07","SNP","7d366af1-d114-95e9-5571-1267f8b82f75","HG0038","Ross-CBASS","CRF","C1498",4,"CRF-069",188
"U58",24.830533,-80.643766,0,"2010-10-17","SNP","7da387ad-a2f5-081d-c96b-d7d6ef62ab2d","HG0708","Ross-CBASS","CRF","C1427",729,"CRF-085",189
"U08",24.98025,-80.442733,0,"2006-02-18","SNP","31c6d1d5-62e1-443d-02ff-1ce9e84d6fad","HG0688","Ross-CBASS","CRF",NA,703,"CRF-019",190
"U94",25.1768,-80.2658,0,"2013-08-08","SNP","e1237903-974d-d2ef-d5ac-9ad4fba6f453","HG0589","Ross-CBASS","CRF",NA,578,"CRF-108",191
